INIT
[2023-11-15T11:12:44.895369]  init day
[2023-11-15T11:13:44.299631]  I'm going search for mrs.taghvaii but before that I should learn a bit about wordpress
[2023-11-15T13:51:31.405569]  I installed wordpress
[2023-11-15T13:51:47.464233]  I'm going to find mrs.taghvaii again
[2023-11-15T14:23:25.350184]  I'm waiting for mr.moisavi
[2023-11-15T15:02:16.409897]  It's asking chgpt for l2r
[2023-11-15T15:09:27.634082]  I found a bad way to hack the site
[2023-11-15T15:19:58.218369]  I distroyed website
[2023-11-15T15:24:11.097891]  I could hack the site :)
[2023-11-15T15:35:35.139866]  I found how to change l2r to r2l it's enough to change language in general settings
[2023-11-15T15:36:01.142757]  I'm going to find a way how to translate site
[2023-11-15T15:36:19.350831]  first searching fot plugins and test them
[2023-11-15T15:43:11.856985]  I created a backup and found a good plugin go to test
[2023-11-15T16:02:02.862534]  Installed plugin
[2023-11-15T16:02:11.762963]  go to ask anout mail to bus
[2023-11-15T16:04:21.657636]  back to worK : add english anguage using plugin
[2023-11-15T16:04:39.014436]  plugin name is translate press
[2023-11-15T16:06:54.451919]  I added language but enableing that in website will make that down
[2023-11-15T16:21:55.449489]  It's enough, it is a good ending for today
[2023-11-15T16:22:01.359585]  :)
[2023-11-15T16:22:04.011439]  exit
